what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1361409830011
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1361409830011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409838479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409845839
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361409847526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409857886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409878198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409883839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409931636
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361409933901
opened,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409938276
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361409938964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409956823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410035683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410038870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1361410038901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410042823
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1361410047542
started,bundle,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.ui",1361410048917
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1361410049261
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.format.document",1361410052323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410055417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410064495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1361410079979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410083417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410142792
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361410146167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410164729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410175776
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1361410175808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410209948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410214401
error,log,,,"Could not download sources for org.freemarker:freemarker:2.3.18",1361410224776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410242386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410289104
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410297261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410298917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1361410298933
activated,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361410300448
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361410300808
closed,editor,org.eclipse.m2e.editor,1.3.1.20130219-1424,"org.eclipse.m2e.editor.MavenPomEditor",1361410300808
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361410303620
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361410303620
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361410309886
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361410310058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410312526
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1361410312604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410315558
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361410317308
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361410317651
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361410317776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410319636
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1361410319698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410321261
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361410322417
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361410322729
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1361410322854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410324714
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1361410324776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410327167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410329089
error,log,,,"Internal Error",1361410343558
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410514058
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361410515479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.maximizePart",1361410519917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.maximizePart",1361410521995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410522479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410532229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1361410532245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410538854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410547698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1361410547729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410550120
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1361410557854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361410558714
