what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1361408162104
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1361408162464
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1361408162917
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1361408162995
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1361408163011
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1361408163042
started,bundle,com.google.gdt.eclipse.designer,2.3.0.r36x201104251626,"com.google.gdt.eclipse.designer",1361408163245
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.0.r36x201104251626,"com.google.gdt.eclipse.designer.UiBinder",1361408163370
started,bundle,com.google.gdt.eclipse.platform.shared,2.3.0.r36v201104261928,"com.google.gdt.eclipse.platform.shared",1361408163683
started,bundle,com.google.gdt.eclipse.platform.e36,2.3.0.r36v201104261928,"com.google.gdt.eclipse.platform.e36",1361408163714
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201104251554,"org.eclipse.wb.core.xml",1361408163870
started,bundle,com.google.gwt.eclipse.core,2.3.0.r36v201104261928,"com.google.gwt.eclipse.core",1361408164464
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1361408164573
started,bundle,com.google.appengine.eclipse.sdkbundle,1.4.3.r36v201104261928,"com.google.appengine.eclipse.sdkbundle",1361408174448
started,bundle,com.google.gwt.eclipse.sdkbundle,2.3.0.r36v201104261928,"com.google.gwt.eclipse.sdkbundle",1361408175823
started,bundle,com.google.gdt.eclipse.suite,2.3.0.r36v201104261928,"com.google.gdt.eclipse.suite",1361408176651
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1361408301823
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1361408301839
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1361408303495
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1361408308386
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1361408308401
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1361408308792
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1361408310729
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1361408310823
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1361408310917
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1361408311042
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1361408311058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361408311558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1361408328651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1361408550854
